,Unnamed: 0,ICAO,Year,Departures,Arrivals,Longitude,Latitude,Name
254,254,LOWW,2020,54060,,16.5697,48.110298,Vienna International Airport
255,255,LPAZ,2020,1024,,-25.17060089,36.97140121,Santa Maria Airport
256,256,LPCS,2020,2311,,-9.35523,38.724998,Cascais Airport
257,257,LPFL,2020,598,,-31.13139915,39.45529938,Flores Airport
258,258,LPFR,2020,12302,,-7.965909958,37.01440048,Faro Airport
259,259,LPHR,2020,1581,,-28.71590042,38.51990128,Horta Airport
260,260,LPMA,2020,5592,,-16.7745,32.697899,Madeira International Airport Cristiano Ronaldo
261,261,LPMT,2020,88,,-9.03368,38.70929,Montijo Air Base
262,262,LPPD,2020,6130,,-25.69790077,37.74119949,João Paulo II Airport
263,263,LPPR,2020,21719,,-8.681389809,41.24810028,Francisco de Sá Carneiro Airport
264,264,LPPS,2020,749,,-16.35000038,33.07339859,Porto Santo Airport
265,265,LPPT,2020,44593,,-9.13592,38.7813,Humberto Delgado Airport (Lisbon Portela Airport)
266,266,LQSA,2020,2689,,18.331499,43.8246,Sarajevo International Airport
267,267,LRBS,2020,2463,,26.1021,44.503201,Băneasa International Airport
268,268,LROP,2020,25882,,26.085,44.571111,Henri Coandă International Airport
269,269,LSGG,2020,39292,,6.108950138,46.23809814,Geneva Cointrin International Airport
270,270,LSGS,2020,2725,,7.326944,46.219166,Sion Airport
271,271,LSZH,2020,52676,,8.548056,47.458056,Zürich Airport
272,272,LTAC,2020,22753,,32.99509811,40.12810135,Esenboğa International Airport
273,273,LTAI,2020,31946,,30.800501,36.898701,Antalya International Airport
274,274,LTBA,2020,16724,,28.823714,40.971913,İstanbul Atatürk Airport
275,275,LTBJ,2020,20624,,27.157,38.2924,Adnan Menderes International Airport
276,276,LTFJ,2020,62085,,29.3092,40.898602,Istanbul Sabiha Gökçen International Airport
277,277,LTFM,2020,92308,,28.741951,41.261297,İstanbul Airport
278,278,LUKK,2020,4917,,28.93099976,46.92770004,Chişinău International Airport
279,279,LWSK,2020,4128,,21.621401,41.961601,Skopje International Airport
280,280,LYBE,2020,17073,,20.309099,44.818401,Belgrade Nikola Tesla Airport
281,281,LYPG,2020,2908,,19.2519,42.359402,Podgorica Airport / Podgorica Golubovci Airbase
282,282,LZIB,2020,4548,,17.21269989,48.17020035,M. R. Štefánik Airport
283,283,UDYZ,2020,4687,,44.39590073,40.14730072,Zvartnots International Airport
284,284,UGTB,2020,5433,,44.95470047,41.6692009,Tbilisi International Airport
285,285,UKBB,2020,23478,,30.894699,50.345001,Boryspil International Airport
286,286,EDDE,2020,1743,,10.95810032,50.97980118,Erfurt Airport
287,287,ENVR,2020,551,,,,
288,288,EPZG,2020,514,,15.7986002,52.13850021,Zielona Góra-Babimost Airport
